name,rating,genre,release_date,actor,overview
Godzilla: Tokyo S.O.S.,70.0,"Action, Science Fiction, Fantasy",2003,Noboru Kaneko,"
Mothra and her fairies return to Japan to warn mankind that they must return Kiryu to the sea, for the dead must not be disturbed. However Godzilla has survived to menace Japan leaving Kiryu as the nation's only defense.
"
Bless the Child,53.010000000000005,"Drama, Horror, Thriller, Crime",2000,Kim Basinger,"
When Maggie's sister Jenna saddles her with an autistic newborn named Cody she touches Maggie's heart and becomes the daughter she has always longed for. But six years later Jenna suddenly re-enters her life and, with her mysterious new husband, Eric Stark, abducts Cody. Despite the fact that Maggie has no legal rights to Cody, FBI agent John Travis takes up her cause when he realizes that Cody shares the same birth date as several other recently murdered children.
"
Cardcaptor Sakura: The Movie,76.83,"Fantasy, Animation, Adventure, Action, Drama",1999,Sakura Tange,"
Sakura Kinomoto, a Card Captor, wins a game of chance and is awarded a trip to Hong Kong, along with her best friend Tomoyo and her rival, Syaoran Li. It turns out that the ancient rival of Clow Reed, the creator of the mysterious and powerful Clow Cards, summoned them, and she's out for revenge. A battle ensues, and secrets are revealed about Clow Reed's shady past and Sakura's connection to him.
"
The Eye,57.72,"Drama, Horror, Thriller",2008,Jessica Alba,"
Violinist Sydney Wells was accidentally blinded by her sister Helen when she was five years old. She submits to a cornea transplantation, and while recovering from the operation, she realizes that she is seeing dead people.
"
Grimsby,59.38,"Action, Comedy",2016,Sacha Baron Cohen,"
Wrongfully accused and on the run, a top MI6 assassin joins forces with his long-lost, football hooligan brother to save the world from a sinister plot.
"
The Other Woman,64.21000000000001,"Comedy, Romance",2014,Cameron Diaz,"
After discovering her boyfriend is married, Carly soon meets the wife he's been cheating on. And when yet another affair is discovered, all three women team up to plot mutual revenge on the three-timing SOB.
"
Cruising,65.93,"Crime, Mystery, Thriller",1980,Al Pacino,"
A serial killer brutally slays and dismembers several gay men in New York's S&M and leather districts. The young police officer Steve Burns is sent undercover onto the streets as a decoy for the murderer. Working almost completely isolated from his department, he has to learn and practice the complex rules and signals of this little society.
"
Something Borrowed,62.56,"Comedy, Drama, Romance",2011,Ginnifer Goodwin,"
Though Rachel is a successful attorney and a loyal, generous friend, she is still single. After one drink too many at her 30th-birthday celebration, Rachel unexpectedly falls into bed with her longtime crush, Dex -- who happens to be engaged to her best friend, Darcy. Ramifications of the liaison threaten to destroy the women's lifelong friendship, while Ethan, Rachel's confidant, harbors a potentially explosive secret of his own.
"
Prisoners of the Ghostland,51.39,"Action, Fantasy, Horror",2021,Nicolas Cage,"
In the treacherous frontier city of Samurai Town, a ruthless bank robber is sprung from jail by wealthy warlord The Governor, whose adopted granddaughter Bernice has gone missing. The Governor offers the prisoner his freedom in exchange for retrieving the runaway. Strapped into a leather suit that will self-destruct within five days, the bandit sets off on a journey to find the young woman—and his own path to redemption.
"
Funny Games,73.28999999999999,"Drama, Horror, Thriller",1997,Ulrich Mühe,"
Two psychotic young men take a mother, father, and son hostage in their vacation cabin and force them to play sadistic ""games"" with one another for their own amusement.
"
Leviathan,59.46,"Adventure, Horror, Action, Thriller, Science Fiction",1989,Peter Weller,"
Underwater deep-sea miners encounter a Soviet wreck and bring back a dangerous cargo to their base on the ocean floor with horrifying results. The crew of the mining base must fight to survive against a genetic mutation that hunts them down one by one.
"
The Nut Job 2: Nutty by Nature,59.63,"Animation, Family, Adventure, Comedy",2017,Will Arnett,"
When the evil mayor of Oakton decides to bulldoze Liberty Park and build a dangerous amusement park in its place, Surly Squirrel and his ragtag group of animal friends need to band together to save their home, defeat the mayor, and take back the park.
"
Batman: Gotham by Gaslight,66.75,"Thriller, Action, Animation, Science Fiction",2018,Bruce Greenwood,"
In an alternative Victorian Age Gotham City, Batman begins his war on crime while he investigates a new series of murders by Jack the Ripper.
"
Collateral Beauty,72.39,"Drama, Romance",2016,Will Smith,"
Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.
"
Lady Vengeance,76.0,"Drama, Thriller",2005,Lee Young-ae,"
Released after being wrongfully convicted and imprisoned for 13 years, a woman begins executing her elaborate plan of retribution.
"
Raw Deal,58.13,"Action, Crime, Thriller",1986,Arnold Schwarzenegger,"
Mark Kaminsky is kicked out of the FBI for his rough treatment of a suspect. He winds up as the sheriff of a small town in North Carolina. FBI Chief Harry Shannon, whose son has been killed by a mobster named Patrovina, enlists Kaminsky in a personal vendetta with a promise of reinstatement into the FBI if Patrovina is taken down. To accomplish this, he must go undercover and join Patrovina's gang.
"
Dark Water,67.64999999999999,"Drama, Horror, Mystery, Thriller",2002,Hitomi Kuroki,"
A woman in the midst of an unpleasant divorce moves to an eerie apartment building with her young daughter. The ceiling of their apartment has a dark and active leak.
"
House,61.06,"Comedy, Horror",1986,William Katt,"
Roger Cobb is an author who has just separated from his wife. He moves into a new house and tries to work on a novel based on his experiences in the Vietnam War. Strange things start happening around him; little things at first, but as they become more frequent, Cobb becomes aware that the house resents his presence.
"
Barbie: Mermaid Power,68.71000000000001,Animation,2022,America Young,"
Join Barbie “Brooklyn” Roberts, Barbie “Malibu” Roberts, and her sisters Skipper, Stacie, and Chelsea on an underwater adventure as they transform into mermaids to help save the world of Pacifica! In Barbie Mermaid Power™, Barbie and Barbie are summoned by Isla (from Dolphin Magic) to compete to be the underwater Power Keeper in a series of challenges designed to find their inner powers. Through these competitions, they discover whether they are mermaids of Earth, Air, Water, or Fire, all while making new animal and mermaid friends. In this fish-tale of friendship, adventure, and bravery, Barbie, Barbie, and family experience first-hand what it’s like to balance the worlds above and below the sea and learn a lesson in finding their inner powers along the way.
"
Silenced,82.0,Drama,2011,Gong Yoo,"
Based on actual events that took place at Gwangju Inhwa School for the hearing-impaired, where young deaf students were the victims of repeated sexual assaults by faculty members over a period of five years in the early 2000s.
"
Paranormal Activity 2,57.45,"Horror, Mystery",2010,Sprague Grayden,"
Days after welcoming a newborn baby, Dan and Kristi Rey return home one day to find their house ransacked with seemingly no explanation. Their fear forces them to put in security cameras, which begin to capture strange activity around the house.
"
Dolton,0.0,,2023,Meldan Hukeljic,"
We don't have an overview translated in English. Help us expand our database by adding one.
"
Surviving Christmas,56.88,"Comedy, Romance",2004,Ben Affleck,"
Drew Latham is an executive leading an empty, shallow life with only wealth on his side. Facing another lonely Christmas ahead, he revisits his old childhood home in the hope of reliving some old holiday memories – but he finds that the house in which he was raised is no longer the home in which he grew up.
"
The Thinning: New World Order,71.0,"Action, Drama, Thriller, Horror",2018,Logan Paul,"
Blake Redding is trapped in this dark room wanting to protect his love so the only thing he will do is escape like no failed student has done before.
"
Funny Face,69.93,"Comedy, Romance, Music",1957,Audrey Hepburn,"
A shy Greenwich Village book clerk is discovered by a fashion photographer and whisked off to Paris where she becomes a reluctant model.
"
The Seven Year Itch,70.73,"Comedy, Romance",1955,Marilyn Monroe,"
With his family away for their annual summer holiday, a publishing executive decides to live a bachelor's life. The beautiful but ditzy blonde from the apartment above catches his eye and they soon start spending time together—maybe a little too much time!
"
Seal Team,70.0,"Animation, Family",2021,Jessie T. Usher,"
After his best friend is killed in a shark attack, Quinn, a lovable yet tenacious seal assembles a SEAL TEAM to fight back against a gang of sharks overtaking the neighborhood. But this merry band of international seals are not at all trained for such a mission. They seek the help of a much more skillful combatant, Claggart, but even his tricks and flips can’t whip these guys into shape. However, with a little bit of ingenuity, intelligence and a lot of heart, our SEAL TEAM may actually be able to bring peace back to their undersea community.
"
